epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2772.92,1.44825,1.67488,0.00868,0.60662,0.55642,0.54994,0.32809,1.47891,1.7304,0.00953,0.000663025,0.000663025,0.000663025
43,2840.15,1.44997,1.65682,0.00865,0.60867,0.51734,0.5446,0.3147,1.56872,1.69726,0.0098,0.000657025,0.000657025,0.000657025
44,2907.97,1.45547,1.59253,0.00861,0.59868,0.53493,0.55529,0.31781,1.55335,1.71925,0.01018,0.000651026,0.000651026,0.000651026
45,2974.77,1.46112,1.59994,0.0086,0.60688,0.49986,0.53386,0.31087,1.54589,1.77116,0.00966,0.000645026,0.000645026,0.000645026
46,3040.21,1.43592,1.58522,0.00849,0.6152,0.52733,0.55985,0.32616,1.49534,1.7096,0.00907,0.000639027,0.000639027,0.000639027
47,3105.35,1.45217,1.59119,0.00863,0.61474,0.55159,0.58418,0.3441,1.52799,1.61427,0.00973,0.000633028,0.000633028,0.000633028
48,3170.19,1.45958,1.57085,0.00826,0.65529,0.53044,0.56505,0.33093,1.52995,1.70442,0.00977,0.000627028,0.000627028,0.000627028
49,3237.53,1.44634,1.56481,0.00855,0.62069,0.54907,0.56237,0.31977,1.56342,1.70575,0.00994,0.000621029,0.000621029,0.000621029
50,3303.41,1.43039,1.5513,0.00845,0.62794,0.53293,0.56731,0.31911,1.57027,1.69568,0.00983,0.000615029,0.000615029,0.000615029
51,3369.61,1.41124,1.47967,0.00836,0.67373,0.5295,0.59064,0.33226,1.59583,1.6826,0.01016,0.00060903,0.00060903,0.00060903
52,3434.58,1.42351,1.49911,0.0083,0.54948,0.55842,0.55674,0.32769,1.54069,1.65608,0.00956,0.000603031,0.000603031,0.000603031
53,3500.27,1.41328,1.48873,0.00814,0.62219,0.54307,0.58579,0.33481,1.57735,1.64088,0.00996,0.000597031,0.000597031,0.000597031
54,3565.45,1.41141,1.47569,0.0081,0.6167,0.55368,0.58028,0.32538,1.57905,1.64435,0.01017,0.000591032,0.000591032,0.000591032
55,3631.54,1.41856,1.4693,0.00831,0.61414,0.54942,0.56934,0.33408,1.46751,1.668,0.00916,0.000585032,0.000585032,0.000585032
56,3697.06,1.40887,1.44402,0.00839,0.64748,0.5386,0.5822,0.31557,1.61402,1.63938,0.0103,0.000579033,0.000579033,0.000579033
57,3762.96,1.39993,1.44582,0.00816,0.63857,0.56268,0.584,0.33196,1.52384,1.63482,0.00992,0.000573034,0.000573034,0.000573034
58,3831.76,1.40467,1.43866,0.00837,0.64547,0.54262,0.5869,0.33741,1.54514,1.62192,0.00955,0.000567034,0.000567034,0.000567034
59,3902.59,1.41287,1.40982,0.00804,0.69191,0.55527,0.60501,0.3431,1.55186,1.62805,0.00968,0.000561035,0.000561035,0.000561035
60,3969.84,1.4149,1.38077,0.00827,0.6166,0.58141,0.59991,0.35358,1.51765,1.65736,0.00947,0.000555035,0.000555035,0.000555035
61,4035.55,1.42257,1.41666,0.00819,0.66568,0.55294,0.58298,0.32286,1.59335,1.68814,0.01027,0.000549036,0.000549036,0.000549036
62,4102.63,1.40398,1.37027,0.00812,0.66737,0.57324,0.60522,0.33413,1.58838,1.60324,0.01056,0.000543037,0.000543037,0.000543037
63,4168.51,1.39716,1.38084,0.00802,0.65723,0.56094,0.59004,0.33685,1.55774,1.60883,0.01022,0.000537037,0.000537037,0.000537037
64,4233.63,1.38952,1.36692,0.00782,0.62684,0.58988,0.60732,0.35221,1.51419,1.57928,0.00953,0.000531038,0.000531038,0.000531038
65,4298.74,1.38839,1.37906,0.0082,0.6156,0.5876,0.5934,0.34652,1.52518,1.60156,0.00963,0.000525038,0.000525038,0.000525038
66,4364,1.38998,1.36731,0.00803,0.65422,0.58016,0.60662,0.35569,1.52098,1.58918,0.00968,0.000519039,0.000519039,0.000519039
67,4443.32,1.39001,1.34608,0.00798,0.66483,0.56745,0.60408,0.34574,1.5431,1.60857,0.00954,0.00051304,0.00051304,0.00051304
68,4530.97,1.38056,1.32748,0.00806,0.69887,0.58915,0.62053,0.36193,1.54201,1.57401,0.00963,0.00050704,0.00050704,0.00050704
69,4616.25,1.37949,1.32138,0.00808,0.62253,0.60518,0.60697,0.33645,1.6128,1.56865,0.0103,0.000501041,0.000501041,0.000501041
70,4702.12,1.38057,1.30304,0.00771,0.74441,0.53837,0.61624,0.35995,1.51968,1.59783,0.00977,0.000495041,0.000495041,0.000495041
71,4791.07,1.38862,1.32484,0.00779,0.61437,0.63454,0.60195,0.35805,1.51087,1.59471,0.00963,0.000489042,0.000489042,0.000489042
72,4873.04,1.3833,1.33836,0.00784,0.67282,0.59097,0.61931,0.35551,1.5387,1.57088,0.0098,0.000483043,0.000483043,0.000483043
73,4940.33,1.37195,1.30485,0.00796,0.69331,0.55016,0.60799,0.33741,1.60648,1.56617,0.00954,0.000477043,0.000477043,0.000477043
74,5006.73,1.38715,1.28563,0.00771,0.6775,0.59195,0.60525,0.36352,1.47324,1.57663,0.00931,0.000471044,0.000471044,0.000471044
75,5072.91,1.34792,1.25213,0.00793,0.67843,0.58462,0.61409,0.35945,1.54832,1.58361,0.00945,0.000465044,0.000465044,0.000465044
76,5139.53,1.35654,1.24581,0.00798,0.63418,0.61748,0.62316,0.37736,1.4797,1.53792,0.00939,0.000459045,0.000459045,0.000459045
77,5205.76,1.37814,1.26546,0.00756,0.68182,0.56967,0.62541,0.36039,1.5377,1.5597,0.00922,0.000453046,0.000453046,0.000453046
78,5271.91,1.36703,1.24116,0.00777,0.72492,0.58045,0.62407,0.37355,1.51913,1.49634,0.00958,0.000447046,0.000447046,0.000447046
79,5338.69,1.34126,1.20637,0.0078,0.65674,0.58987,0.62013,0.37036,1.50349,1.53839,0.00944,0.000441047,0.000441047,0.000441047
80,5408.71,1.36738,1.26355,0.00779,0.68848,0.59827,0.62749,0.37163,1.557,1.51519,0.00957,0.000435047,0.000435047,0.000435047
81,5483.58,1.35342,1.24443,0.00741,0.69303,0.5957,0.63168,0.37497,1.52987,1.5344,0.00951,0.000429048,0.000429048,0.000429048
82,5550.39,1.3585,1.23209,0.00738,0.703,0.59872,0.62844,0.3767,1.5448,1.5607,0.00959,0.000423049,0.000423049,0.000423049
83,5619.03,1.37211,1.22942,0.00783,0.69352,0.57995,0.62816,0.36917,1.5062,1.56584,0.00958,0.000417049,0.000417049,0.000417049
84,5686.12,1.32365,1.21798,0.0076,0.73706,0.58868,0.64299,0.37874,1.55023,1.52428,0.0096,0.00041105,0.00041105,0.00041105
85,5753.75,1.32716,1.1967,0.00762,0.71799,0.57438,0.63509,0.38398,1.47772,1.5365,0.00925,0.00040505,0.00040505,0.00040505
86,5821.63,1.321,1.17052,0.00743,0.74607,0.59692,0.65052,0.3956,1.48912,1.49301,0.00912,0.000399051,0.000399051,0.000399051
87,5889.64,1.32202,1.17303,0.00731,0.67881,0.60815,0.635,0.3756,1.5125,1.50067,0.00944,0.000393052,0.000393052,0.000393052
88,5956.99,1.33023,1.17702,0.00745,0.67175,0.63142,0.6504,0.39056,1.49745,1.49584,0.00933,0.000387052,0.000387052,0.000387052
89,6023.63,1.34432,1.16909,0.00763,0.7221,0.5999,0.63499,0.37594,1.55453,1.56411,0.00958,0.000381053,0.000381053,0.000381053
90,6090.46,1.31252,1.17109,0.00735,0.7019,0.61484,0.65667,0.39412,1.51496,1.50283,0.00942,0.000375053,0.000375053,0.000375053
91,6157.9,1.31818,1.15096,0.00717,0.67946,0.61137,0.64366,0.39221,1.52118,1.48393,0.00949,0.000369054,0.000369054,0.000369054
92,6225.99,1.31131,1.1673,0.00751,0.74601,0.60985,0.65518,0.39187,1.54047,1.46122,0.00956,0.000363055,0.000363055,0.000363055
93,6302.12,1.30948,1.13216,0.00732,0.71471,0.6314,0.65959,0.39178,1.52044,1.46102,0.00961,0.000357055,0.000357055,0.000357055
94,6369.42,1.30791,1.14059,0.00721,0.6961,0.61959,0.65196,0.39741,1.49208,1.4408,0.00916,0.000351056,0.000351056,0.000351056
95,6436.43,1.31469,1.13569,0.00737,0.7427,0.60916,0.66134,0.40585,1.46251,1.45383,0.00913,0.000345056,0.000345056,0.000345056
96,6503.9,1.31082,1.13508,0.00709,0.72205,0.63927,0.66795,0.40429,1.50744,1.43991,0.0092,0.000339057,0.000339057,0.000339057
97,6571.36,1.30478,1.11194,0.00729,0.72051,0.62511,0.66131,0.39782,1.50139,1.46599,0.00922,0.000333058,0.000333058,0.000333058
98,6640.72,1.28829,1.10239,0.00728,0.74154,0.60602,0.66179,0.39511,1.5282,1.43798,0.00977,0.000327058,0.000327058,0.000327058
99,6708.13,1.30021,1.08441,0.00699,0.78328,0.57825,0.66258,0.39163,1.56315,1.48591,0.00964,0.000321059,0.000321059,0.000321059
100,6775.95,1.28464,1.10544,0.00741,0.71431,0.65874,0.66355,0.40243,1.49954,1.45779,0.00923,0.000315059,0.000315059,0.000315059
101,6843.56,1.3143,1.10659,0.00731,0.77724,0.59083,0.66718,0.40126,1.52164,1.48197,0.00927,0.00030906,0.00030906,0.00030906
102,6912.52,1.29634,1.08265,0.00723,0.76957,0.60478,0.66299,0.40511,1.5191,1.44454,0.00948,0.000303061,0.000303061,0.000303061
103,7000.83,1.2959,1.10139,0.00728,0.70578,0.62176,0.66271,0.39839,1.51288,1.44714,0.00954,0.000297061,0.000297061,0.000297061
104,7075.74,1.29404,1.08596,0.00698,0.72525,0.63202,0.66731,0.40215,1.49801,1.43782,0.00943,0.000291062,0.000291062,0.000291062
